"Name","State","Notes","User","Tags","Created","Runtime","Sweep","epoch","train_acc","train_loss","trainer/global_step","val_acc","val_loss","validation_acc","validation_loss","frozen_and_pretrained","pretrained_and_frozen","target_name","freeze_encoder","task_name","weights","train_frac","crop_acc","train_balanced_acc","val_MAE","val_acc_balanced","val_acc_per_crop","val_acc_per_recording","val_acc_rec","val_acc_rec_balanced","val_balanced_acc","val_balanced_acc_per_recording"
"noble-darkness-404","finished","-","tidiane","","2023-09-01T12:34:35.000Z","423","","9","","0.7028530836105347","8099","0.6539196940726577","0.6650015115737915","","","","","","false","medication","random","1","","","","0.5","","","0.6539196940726577","0.5","",""
"pious-voice-403","finished","-","tidiane","","2023-09-01T12:27:18.000Z","273","","9","","0.7028532028198242","8099","0.6539196940726577","0.665001630783081","","","","","","true","medication","random","1","","","","0.5","","","0.6539196940726577","0.5","",""
"clean-leaf-402","finished","-","tidiane","","2023-09-01T12:19:42.000Z","292","","9","","0.6860501766204834","8099","0.5999478532939336","0.7348079681396484","","","","","","true","medication","eegclip","1","","","","0.5588070292926356","","","0.6424474187380497","0.5796581693644793","",""
"leafy-jazz-401","finished","-","tidiane","","2023-09-01T12:09:36.000Z","437","","9","","0.6991060972213745","8099","0.5296367112810707","0.6914313435554504","","","","","","false","seizure","random","1","","","","0.5","","","0.5296367112810707","0.5","",""
"ancient-meadow-400","finished","-","tidiane","","2023-09-01T12:02:26.000Z","268","","9","","0.6991060972213745","8099","0.5296367112810707","0.6914313435554504","","","","","","true","seizure","random","1","","","","0.5","","","0.5296367112810707","0.5","",""
"usual-wind-399","finished","-","tidiane","","2023-09-01T10:48:31.000Z","4266","","9","","0.6619186997413635","8099","0.500782200590996","0.8293165564537048","","","","","","true","seizure","eegclip","1","","","","0.4959099447410621","","","0.5009560229445507","0.49635320360423824","",""
"twilight-voice-398","finished","-","tidiane","","2023-09-01T10:38:35.000Z","430","","9","","0.6908075213432312","8099","0.5774378585086042","0.6811083555221558","","","","","","false","epilep","random","1","","","","0.5","","","0.5774378585086042","0.5","",""
"pious-paper-397","finished","-","tidiane","","2023-09-01T10:31:12.000Z","281","","9","","0.6908075213432312","8099","0.5774378585086042","0.6811083555221558","","","","","","true","epilep","random","1","","","","0.5","","","0.5774378585086042","0.5","",""
"astral-sunset-396","finished","-","tidiane","","2023-09-01T10:23:38.000Z","287","","9","","0.670727550983429","8099","0.5451938119242135","0.7846829295158386","","","","","","true","epilep","eegclip","1","","","","0.520459721423882","","","0.5525812619502868","0.5167061220820472","",""
"proud-lion-395","finished","-","tidiane","","2023-09-01T10:13:37.000Z","432","","9","","0.6911654472351074","8099","0.4933078393881453","0.6933140158653259","","","","","","false","under_50","random","1","","","","0.5","","","0.4933078393881453","0.5","",""
"wandering-hill-394","finished","-","tidiane","","2023-09-01T10:06:07.000Z","281","","9","","0.6911654472351074","8099","0.4933078393881453","0.6933140158653259","","","","","","true","under_50","random","1","","","","0.5","","","0.4933078393881453","0.5","",""
"ethereal-pyramid-393","finished","-","tidiane","","2023-09-01T09:58:27.000Z","295","","9","","0.4808678925037384","8099","0.7061533113158353","0.6632327437400818","","","","","","true","under_50","eegclip","1","","","","0.7046056218171182","","","0.739961759082218","0.7382770220857101","",""
"eager-eon-392","finished","-","tidiane","","2023-09-01T09:49:10.000Z","387","","9","","0.6975050568580627","8099","0.5219885277246654","0.6924484372138977","","","","","","false","gender","random","1","","","","0.5","","","0.5219885277246654","0.5","",""
"easy-wood-391","finished","-","tidiane","","2023-09-01T09:42:31.000Z","237","","9","","0.697504997253418","8099","0.5219885277246654","0.6924483180046082","","","","","","true","gender","random","1","","","","0.5","","","0.5219885277246654","0.5","",""
"woven-pine-390","finished","-","tidiane","","2023-09-01T09:35:28.000Z","258","","9","","0.5019367337226868","8099","0.6296714757517817","0.744861364364624","","","","","","true","gender","eegclip","1","","","","0.6305354645354646","","","0.6462715105162524","0.6466813186813187","",""
"feasible-pond-389","finished","-","tidiane","","2023-09-01T09:25:53.000Z","403","","9","","0.2766701579093933","8099","0.8245263340865635","0.4200413227081299","","","","","","false","pathological","random","1","","","","0.8018187689803588","","","0.8374760994263862","0.8135964912280702","",""
"devoted-waterfall-388","finished","-","tidiane","","2023-08-31T21:35:16.000Z","42468","","9","","0.7009250521659851","8099","0.5856944203024509","0.6818132996559143","","","","","","true","pathological","random","1","","","","0.5061341378820651","","","0.5831739961759083","0.502283105022831","",""
"cerulean-violet-387","finished","-","tidiane","","2023-08-31T21:28:11.000Z","263","","9","","0.4322640001773834","8099","0.8311315835216408","0.4319838881492615","","","","","","true","pathological","eegclip","1","","","","0.813245900788709","","","0.8546845124282982","0.8335060682528238","",""
"dry-wood-386","finished","-","tidiane","","2023-08-31T21:18:29.000Z","419","","9","","0.6812227964401245","7889","0.608843537414966","0.6731467247009277","","","","","","false","medication","random","1","","","","0.5","","","0.608843537414966","0.5","",""
"fearless-blaze-385","finished","-","tidiane","","2023-08-31T21:11:00.000Z","280","","9","","0.6812229752540588","7889","0.608843537414966","0.6731467843055725","","","","","","true","medication","random","1","","","","0.5","","","0.608843537414966","0.5","",""
"genial-universe-384","finished","-","tidiane","","2023-08-31T21:03:17.000Z","296","","9","","0.6956832408905029","7889","0.5906771799628943","0.7244450449943542","","","","","","true","medication","eegclip","1","","","","0.5356741448980944","","","0.5986394557823129","0.5413650716541171","",""
"vocal-wind-383","finished","-","tidiane","","2023-08-31T20:53:38.000Z","419","","9","","0.6952899694442749","7889","0.5952380952380952","0.6894361972808838","","","","","","false","seizure","random","1","","","","0.5","","","0.5952380952380952","0.5","",""
"winter-serenity-382","finished","-","tidiane","","2023-08-31T20:46:13.000Z","284","","9","","0.6952899694442749","7889","0.5952380952380952","0.689436137676239","","","","","","true","seizure","random","1","","","","0.5","","","0.5952380952380952","0.5","",""
"eager-glitter-381","finished","-","tidiane","","2023-08-31T20:38:22.000Z","307","","9","","0.6582227945327759","7889","0.5090445269016698","0.763380229473114","","","","","","true","seizure","eegclip","1","","","","0.5131283422459892","","","0.5136054421768708","0.5147899159663866","",""
"exalted-cloud-380","finished","-","tidiane","","2023-08-31T20:28:33.000Z","419","","9","","0.6976501941680908","7889","0.5391156462585034","0.6948680877685547","","","","","","false","epilep","random","1","","","","0.5","","","0.5391156462585034","0.5","",""
"jumping-snow-379","finished","-","tidiane","","2023-08-31T20:21:04.000Z","272","","9","","0.6976501941680908","7889","0.5391156462585034","0.6948680877685547","","","","","","true","epilep","random","1","","","","0.5","","","0.5391156462585034","0.5","",""
"radiant-aardvark-378","finished","-","tidiane","","2023-08-31T20:13:22.000Z","300","","9","","0.6290932297706604","7889","0.5336270871985158","0.7568045854568481","","","","","","true","epilep","eegclip","1","","","","0.5050712874493242","","","0.5255102040816326","0.49594910775606177","",""
"sage-valley-377","finished","-","tidiane","","2023-08-31T16:42:55.000Z","12461","","9","","0.3962734639644623","7889","0.6957328385899815","0.6430627107620239","","","","","","false","under_50","random","1","","","","0.7133981322660568","","","0.7091836734693877","0.7272187281621244","",""
"gallant-capybara-376","finished","-","tidiane","","2023-08-31T16:35:40.000Z","276","","9","","0.6899293065071106","7889","0.45918367346938777","0.6945077776908875","","","","","","true","under_50","random","1","","","","0.5","","","0.45918367346938777","0.5","",""
"radiant-cosmos-375","finished","-","tidiane","","2023-08-31T16:28:04.000Z","295","","9","","0.48761487007141113","7889","0.6798855905998763","0.7241083979606628","","","","","","true","under_50","eegclip","1","","","","0.6928768820278255","","","0.6870748299319728","0.7014675052410901","",""
"wild-puddle-374","finished","-","tidiane","","2023-08-31T16:18:51.000Z","394","","9","","0.6792755126953125","7889","0.5102040816326531","0.6945328116416931","","","","","","false","gender","random","1","","","","0.5","","","0.5102040816326531","0.5","",""
"dark-bee-373","finished","-","tidiane","","2023-08-31T16:12:09.000Z","240","","9","","0.679275631904602","7889","0.5102040816326531","0.6945328116416931","","","","","","true","gender","random","1","","","","0.5","","","0.5102040816326531","0.5","",""
"lemon-waterfall-372","finished","-","tidiane","","2023-08-31T16:05:14.000Z","255","","9","","0.5213382244110107","7889","0.6570037105751392","0.6963802576065063","","","","","","true","gender","eegclip","1","","","","0.6570012626262627","","","0.6615646258503401","0.661875","",""
